query,response,intent,domain
Can I make changes to my loan repayment schedule?,Changes to your loan repayment schedule can be made by contacting our loan department or via the online portal.,loan repayment adjustment,finance
How do I apply for a student loan?,You can apply for a student loan by visiting our website and filling out the application form.,student loan application,finance
What are the side effects of the COVID-19 vaccine?,"Common side effects of the COVID-19 vaccine include soreness at the injection site, fever, and fatigue.",side effects inquiry,healthcare
How can I schedule an appointment with my doctor?,You can schedule an appointment by calling our office or using our online portal.,appointment booking,healthcare
What should I do if I miss a dose of my medication?,"If you miss a dose, take it as soon as you remember unless it's almost time for your next dose. If you’re unsure, contact your healthcare provider.",medication inquiry,healthcare
How can I check my account balance?,You can check your balance by logging into your account online or using our mobile app.,balance inquiry,finance
What is the interest rate for a personal loan?,"The current interest rate for personal loans is 6.5%, but it may vary based on your credit score.",loan inquiry,finance
"I lost my credit card, what should I do?",Please contact our customer service immediately to report your lost card and request a replacement.,lost card reporting,finance
What are the symptoms of flu?,"Flu symptoms include fever, cough, sore throat, body aches, and fatigue.",flu symptoms inquiry,healthcare
How do I update my contact details on my account?,"To update your contact details, log into your account and go to the 'Profile' section.",contact update,finance
"hi, how are you doing?",i'm fine. how about yourself?,greetings,conversation
i'm fine. how about yourself?,i'm pretty good. thanks for asking.,greetings,conversation
i'm pretty good. thanks for asking.,no problem. so how have you been?,greetings,conversation
no problem. so how have you been?,i've been great. what about you?,greetings,conversation
i've been great. what about you?,i've been good. i'm in school right now.,greetings,conversation
i've been good. i'm in school right now.,what school do you go to?,greetings,conversation
what school do you go to?,i go to pcc.,greetings,conversation
i go to pcc.,do you like it there?,greetings,conversation
do you like it there?,it's okay. it's a really big campus.,greetings,conversation
it's okay. it's a really big campus.,good luck with school.,greetings,conversation
good luck with school.,thank you very much.,greetings,conversation
how's it going?,i'm doing well. how about you?,greetings,conversation
i'm doing well. how about you?,"never better, thanks.",greetings,conversation
"never better, thanks.",so how have you been lately?,greetings,conversation
so how have you been lately?,i've actually been pretty good. you?,greetings,conversation
i've actually been pretty good. you?,i'm actually in school right now.,greetings,conversation
i'm actually in school right now.,which school do you attend?,greetings,conversation
which school do you attend?,i'm attending pcc right now.,greetings,conversation
i'm attending pcc right now.,are you enjoying it there?,greetings,conversation
are you enjoying it there?,it's not bad. there are a lot of people there.,greetings,conversation
it's not bad. there are a lot of people there.,good luck with that.,greetings,conversation
good luck with that.,thanks.,greetings,conversation
how are you doing today?,i'm doing great. what about you?,greetings,conversation
i'm doing great. what about you?,"i'm absolutely lovely, thank you.",greetings,conversation
"i'm absolutely lovely, thank you.",everything's been good with you?,greetings,conversation
everything's been good with you?,i haven't been better. how about yourself?,greetings,conversation
i haven't been better. how about yourself?,i started school recently.,greetings,conversation
i started school recently.,where are you going to school?,greetings,conversation
where are you going to school?,i'm going to pcc.,greetings,conversation
i'm going to pcc.,how do you like it so far?,greetings,conversation
how do you like it so far?,i like it so far. my classes are pretty good right now.,greetings,conversation
i like it so far. my classes are pretty good right now.,i wish you luck.,greetings,conversation
it's an ugly day today.,i know. i think it may rain.,greetings,conversation
i know. i think it may rain.,"it's the middle of summer, it shouldn't rain today.",smallTalks,conversation
"it's the middle of summer, it shouldn't rain today.",that would be weird.,smallTalks,conversation
that would be weird.,"yeah, especially since it's ninety degrees outside.",smallTalks,conversation
"yeah, especially since it's ninety degrees outside.","i know, it would be horrible if it rained and it was hot outside.",smallTalks,conversation
"i know, it would be horrible if it rained and it was hot outside.","yes, it would be. ",smallTalks,conversation
"yes, it would be. ",i really wish it wasn't so hot every day. ,smallTalks,conversation
i really wish it wasn't so hot every day. ,me too. i can't wait until winter.,smallTalks,conversation
me too. i can't wait until winter.,"i like winter too, but sometimes it gets too cold.",smallTalks,conversation
"i like winter too, but sometimes it gets too cold.",i'd rather be cold than hot.,smallTalks,conversation
i'd rather be cold than hot.,me too.,smallTalks,conversation
it doesn't look very nice outside today.,you're right. i think it's going to rain later.,smallTalks,conversation
you're right. i think it's going to rain later.,"in the middle of the summer, it shouldn't be raining.",smallTalks,conversation
"in the middle of the summer, it shouldn't be raining.",that wouldn't seem right.,smallTalks,conversation
that wouldn't seem right.,"considering that it's over ninety degrees outside, that would be weird.",smallTalks,conversation
"considering that it's over ninety degrees outside, that would be weird.","exactly, it wouldn't be nice if it started raining. it's too hot.",smallTalks,conversation
"exactly, it wouldn't be nice if it started raining. it's too hot.","i know, you're absolutely right.",smallTalks,conversation
"i know, you're absolutely right.",i wish it would cool off one day.,smallTalks,conversation
i wish it would cool off one day.,"that's how i feel, i want winter to come soon.",smallTalks,conversation
"that's how i feel, i want winter to come soon.","i enjoy the winter, but it gets really cold sometimes.",smallTalks,conversation
"i enjoy the winter, but it gets really cold sometimes.","i know what you mean, but i'd rather be cold than hot.",smallTalks,conversation
"i know what you mean, but i'd rather be cold than hot.",that's exactly how i feel.,smallTalks,conversation
i wish it was a nicer day today.,that is true. i hope it doesn't rain.,smallTalks,conversation
that is true. i hope it doesn't rain.,it wouldn't rain in the middle of the summer.,smallTalks,conversation
it wouldn't rain in the middle of the summer.,it wouldn't seem right if it started raining right now.,smallTalks,conversation
it wouldn't seem right if it started raining right now.,it would be weird if it started raining in ninety degree weather.,smallTalks,conversation
it would be weird if it started raining in ninety degree weather.,any rain right now would be pointless.,smallTalks,conversation
any rain right now would be pointless.,"that's right, it really would be.",smallTalks,conversation
"that's right, it really would be.",i want it to cool down some.,smallTalks,conversation
i want it to cool down some.,"i know what you mean, i can't wait until it's winter.",smallTalks,conversation
"i know what you mean, i can't wait until it's winter.",winter is great. i wish it didn't get so cold sometimes though.,smallTalks,conversation
winter is great. i wish it didn't get so cold sometimes though.,i would rather deal with the winter than the summer.,smallTalks,conversation
it's such a nice day.,"yes, it is.",smallTalks,conversation
"yes, it is.",it looks like it may rain soon.,smallTalks,conversation
it looks like it may rain soon.,"yes, and i hope that it does.",smallTalks,conversation
"yes, and i hope that it does.",why is that?,smallTalks,conversation
why is that?,i really love how rain clears the air.,smallTalks,conversation
i really love how rain clears the air.,me too. it always smells so fresh after it rains.,smallTalks,conversation
me too. it always smells so fresh after it rains.,"yes, but i love the night air after it rains.",smallTalks,conversation
"yes, but i love the night air after it rains.",really? why is it?,smallTalks,conversation
really? why is it?,because you can see the stars perfectly.,smallTalks,conversation
because you can see the stars perfectly.,i really hope it rains today.,smallTalks,conversation
i really hope it rains today.,"yeah, me too.",smallTalks,conversation
isn't it a nice day?,it really is.,smallTalks,conversation
it really is.,it seems that it may rain today.,smallTalks,conversation
it seems that it may rain today.,hopefully it will.,smallTalks,conversation
hopefully it will.,how come?,smallTalks,conversation
how come?,i like how clear the sky gets after it rains.,smallTalks,conversation
i like how clear the sky gets after it rains.,i feel the same way. it smells so good after it rains.,smallTalks,conversation
i feel the same way. it smells so good after it rains.,i especially love the night air when it rains.,smallTalks,conversation
i especially love the night air when it rains.,really? why?,smallTalks,conversation
really? why?,the stars look so much closer after it rains.,smallTalks,conversation
the stars look so much closer after it rains.,i really want it to rain today.,smallTalks,conversation
i really want it to rain today.,"yeah, so do i.",smallTalks,conversation
don't you think it's nice out?,"yes, i think so too.",smallTalks,conversation
"yes, i think so too.",i think that it's going to rain.,smallTalks,conversation
i think that it's going to rain.,i hope that it does rain.,smallTalks,conversation
i hope that it does rain.,you like the rain?,smallTalks,conversation
you like the rain?,the sky looks so clean after it rains. i love it.,smallTalks,conversation
the sky looks so clean after it rains. i love it.,i understand. rain does make it smell cleaner.,smallTalks,conversation
i understand. rain does make it smell cleaner.,i love most how it is at night after it rains.,smallTalks,conversation
i love most how it is at night after it rains.,how come?,smallTalks,conversation
how come?,you can see the stars so much more clearly after it rains.,smallTalks,conversation
you can see the stars so much more clearly after it rains.,i would love for it to rain today.,smallTalks,conversation
i really want to go to the beach this weekend.,that sounds like fun. what's the weather going to be like?,smallTalks,conversation
that sounds like fun. what's the weather going to be like?,i heard that it's going to be warm this weekend.,smallTalks,conversation
i heard that it's going to be warm this weekend.,is it going to be perfect beach weather?,smallTalks,conversation
is it going to be perfect beach weather?,i believe so.,smallTalks,conversation
i believe so.,good. i hope it doesn't cool off this weekend.,smallTalks,conversation
good. i hope it doesn't cool off this weekend.,i know. i really want to go to the beach.,smallTalks,conversation
i know. i really want to go to the beach.,but you know that california weather is really unpredictable.,smallTalks,conversation
but you know that california weather is really unpredictable.,"you're right. one minute it's hot, and then the next minute it's cold.",smallTalks,conversation
"you're right. one minute it's hot, and then the next minute it's cold.",i really wish the weather would just stay the same.,smallTalks,conversation
i really wish the weather would just stay the same.,i do too. that way we can have our activities planned ahead of time.,smallTalks,conversation
i do too. that way we can have our activities planned ahead of time.,"yeah, that would make things a lot easier.",smallTalks,conversation
i would like to take a trip to the beach this weekend.,a trip to the beach would be fun. how is the weather going to be?,smallTalks,conversation
a trip to the beach would be fun. how is the weather going to be?,the forecast says that it will be warm on the weekend.,smallTalks,conversation
the forecast says that it will be warm on the weekend.,so do you think it'll be perfect weather for the beach?,smallTalks,conversation
so do you think it'll be perfect weather for the beach?,it sounds like it will be.,smallTalks,conversation
it sounds like it will be.,i really hope it doesn't get cold.,smallTalks,conversation
i really hope it doesn't get cold.,"that would ruin things, i want to go so badly.",smallTalks,conversation
"that would ruin things, i want to go so badly.","the weather in california is unpredictable, so you never know.",smallTalks,conversation
